run_id,optimizer,lr,batch_size,warmup_steps,num_epochs,momentum,weight_decay,final_val_accuracy,final_val_f1,final_val_loss,best_val_f1,train_time_min,steps_done
run_000,adamw,1.025e-05,8,0,3,0.85,0.007114,0.835,0.8341,0.9549,0.8341,17.37,100
run_001,sgd,1.14e-06,16,0,3,0.95,0.008123,0.295,0.195,1.3825,0.195,29.77,100
run_002,adamw,3.971e-05,8,0,3,0.9,1.4e-05,0.865,0.864,0.443,0.864,18.33,100
run_003,sgd,6.64e-06,16,100,2,0.95,2e-05,0.245,0.0988,1.3853,0.0988,25.45,100
run_004,sgd,1.465e-05,8,100,3,0.95,7.5e-05,0.34,0.2247,1.3845,0.2247,14.04,100
run_005,adamw,6.14e-06,16,0,3,0.95,0.000126,0.845,0.8438,1.0284,0.8438,33.68,100
run_006,adamw,9.454e-05,8,0,2,0.95,0.000625,0.86,0.8587,0.5566,0.8587,15.96,100
run_007,sgd,4.192e-05,8,500,2,0.95,0.001331,0.28,0.1783,1.3773,0.1783,14.3,100
run_008,adafactor,0.00040384,8,500,2,0.85,0.002662,0.845,0.8455,0.5541,0.8455,14.16,100
run_009,sgd,7.026e-05,8,0,2,0.9,0.000209,0.31,0.204,1.3796,0.204,19.19,100
run_010,adamw,3.46e-06,8,500,2,0.9,0.000349,0.74,0.7298,1.2936,0.7298,14.57,100
run_011,adamw,1.5e-06,16,500,2,0.95,0.007025,0.365,0.3072,1.3475,0.3072,27.7,100
run_012,adafactor,3.1e-06,16,100,3,0.85,3.5e-05,0.76,0.7566,1.2545,0.7566,24.75,100
run_013,sgd,4.363e-05,16,0,3,0.9,3.2e-05,0.31,0.2089,1.3845,0.2089,23.96,100
run_014,sgd,1.43e-06,8,0,2,0.85,0.003968,0.25,0.1086,1.3811,0.1086,15.14,100
run_015,sgd,4.481e-05,8,500,3,0.95,2.6e-05,0.32,0.2073,1.3824,0.2073,16.58,100
run_016,adafactor,0.0001765,16,0,2,0.95,4.3e-05,0.84,0.837,0.6867,0.837,28.93,100
run_017,adamw,2.64e-06,8,500,3,0.85,2.9e-05,0.61,0.5918,1.327,0.5918,16.52,100
run_018,adafactor,6.62e-06,8,100,2,0.85,0.000375,0.83,0.8278,1.0699,0.8278,20.49,100
run_019,adafactor,1.702e-05,16,500,2,0.95,0.002267,0.845,0.8439,0.4922,0.8439,52.58,100
