run_id,mode,optimizer,lr,batch_size,warmup_steps,epochs,timestamp,hostname
1,cpu_mid,adamw,1e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
2,cpu_mid,adamw,1e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
3,cpu_mid,adamw,1e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
4,cpu_mid,adamw,2e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
5,cpu_mid,adamw,2e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
6,cpu_mid,adamw,2e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
7,cpu_mid,adamw,5e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
8,cpu_mid,adamw,5e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
9,cpu_mid,adamw,5e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
10,cpu_mid,adamw,1e-4,8,100,3,20260310_105207,DESKTOP-95H2BGL
11,cpu_mid,adamw,1e-4,16,100,3,20260310_105207,DESKTOP-95H2BGL
12,cpu_mid,adamw,1e-4,32,100,3,20260310_105207,DESKTOP-95H2BGL
13,cpu_mid,sgd,1e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
14,cpu_mid,sgd,1e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
15,cpu_mid,sgd,1e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
16,cpu_mid,sgd,2e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
17,cpu_mid,sgd,2e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
18,cpu_mid,sgd,2e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
19,cpu_mid,sgd,5e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
20,cpu_mid,sgd,5e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
21,cpu_mid,sgd,5e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
22,cpu_mid,sgd,1e-4,8,100,3,20260310_105207,DESKTOP-95H2BGL
23,cpu_mid,sgd,1e-4,16,100,3,20260310_105207,DESKTOP-95H2BGL
24,cpu_mid,sgd,1e-4,32,100,3,20260310_105207,DESKTOP-95H2BGL
25,cpu_mid,adafactor,1e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
26,cpu_mid,adafactor,1e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
27,cpu_mid,adafactor,1e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
28,cpu_mid,adafactor,2e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
29,cpu_mid,adafactor,2e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
30,cpu_mid,adafactor,2e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
31,cpu_mid,adafactor,5e-5,8,100,3,20260310_105207,DESKTOP-95H2BGL
32,cpu_mid,adafactor,5e-5,16,100,3,20260310_105207,DESKTOP-95H2BGL
33,cpu_mid,adafactor,5e-5,32,100,3,20260310_105207,DESKTOP-95H2BGL
34,cpu_mid,adafactor,1e-4,8,100,3,20260310_105207,DESKTOP-95H2BGL
35,cpu_mid,adafactor,1e-4,16,100,3,20260310_105207,DESKTOP-95H2BGL
36,cpu_mid,adafactor,1e-4,32,100,3,20260310_105207,DESKTOP-95H2BGL
