run_id,optimizer,lr,batch_size,warmup_steps,num_epochs,momentum,weight_decay,final_val_accuracy,final_val_f1,final_val_loss,best_val_f1,train_time_min,steps_done
run_000,adamw,1.025e-05,8,0,3,0.85,0.007114,0.815,0.8109,0.8867,0.8109,14.31,100
run_001,sgd,1.14e-06,16,0,3,0.95,0.008123,0.185,0.1134,1.3986,0.1134,25.94,100
run_002,adamw,3.971e-05,8,0,3,0.9,1.4e-05,0.865,0.8646,0.4452,0.8646,12.51,100
run_003,sgd,6.64e-06,16,100,2,0.95,2e-05,0.26,0.1923,1.3827,0.1923,22.57,100
run_004,sgd,1.465e-05,8,100,3,0.95,7.5e-05,0.25,0.1,1.3904,0.1,11.88,100
run_005,adamw,6.14e-06,16,0,3,0.95,0.000126,0.815,0.8137,1.0708,0.8137,21.7,100
run_006,adamw,9.454e-05,8,0,2,0.95,0.000625,0.845,0.8447,0.5407,0.8447,12.95,100
run_007,sgd,4.192e-05,8,500,2,0.95,0.001331,0.3,0.1877,1.378,0.1877,12.41,100
run_008,adafactor,0.00040384,8,500,2,0.85,0.002662,0.845,0.8461,0.6541,0.8461,12.56,100
run_009,sgd,7.026e-05,8,0,2,0.9,0.000209,0.31,0.2234,1.3771,0.2234,12.74,100
run_010,adamw,3.46e-06,8,500,2,0.9,0.000349,0.72,0.7246,1.3148,0.7246,13.7,100
run_011,adamw,1.5e-06,16,500,2,0.95,0.007025,0.4,0.3707,1.3564,0.3707,30.89,100
run_012,adafactor,3.1e-06,16,100,3,0.85,3.5e-05,0.7,0.6912,1.2538,0.6912,30.12,100
run_013,sgd,4.363e-05,16,0,3,0.9,3.2e-05,0.265,0.1372,1.3829,0.1372,29.19,100
run_014,sgd,1.43e-06,8,0,2,0.85,0.003968,0.25,0.1008,1.3988,0.1008,16.06,100
run_015,sgd,4.481e-05,8,500,3,0.95,2.6e-05,0.265,0.1298,1.3908,0.1298,12.34,100
run_016,adafactor,0.0001765,16,0,2,0.95,4.3e-05,0.855,0.8547,0.6758,0.8547,22.76,100
run_017,adamw,2.64e-06,8,500,3,0.85,2.9e-05,0.435,0.3744,1.3485,0.3744,13.22,100
run_018,adafactor,6.62e-06,8,100,2,0.85,0.000375,0.83,0.8281,1.0396,0.8281,11.66,100
run_019,adafactor,1.702e-05,16,500,2,0.95,0.002267,0.86,0.8591,0.4974,0.8591,23.52,100
